"condition","plant_id","genotype","time","size_mm2","QY_max","NPQ_L1","NPQ_L2","NPQ_L3","NPQ_L4"
"s","s24","psbo2cr","98.7333333333333",559.45,0.83489013155778,"0.0652446617213334","0.342281675752972","0.764795609616588","0.9511800414693"
"s","s25","wt","132.433333333333",1090.33,0.83601,"0.06576","0.32406","0.62748",NA
"s","s26","psbo1cr","134.1",89.11,0.61037825721019,"0.0737915621142408","0.685566733251038","1.08634496689485",NA
"s","s27","psbo2cr","136.1",605.78,0.829952006999241,"0.0723699494866123","0.496961963749216","1.15645553204133",NA
"s","s28","wt","138",873.89,0.83810872020506,"0.0636159319822861","0.37803922976576","0.764557029145545",NA
"s","s29","psbo1cr","139.8",100.56,0.604583834526651,"0.0711980926809865","0.638388631662689","1.01527732895784",NA
"s","s30","psbo2cr","141.766666666667",129.78,0.830744524580059,"0.0571607273848051","0.460368531360764","1.22068126521806",NA
"s","s31","wt","169.366666666667",1378.89,0.840094712413608,"0.0629016300792667","0.368174642719869","0.724570371530724",NA
"s","s32","psbo1cr","171",94.67,0.6099,"0.09747","0.9283","1.29782",NA
"s","s33","psbo2cr","172.566666666667",864.89,0.835795385771601,"0.0634560739516008","0.326637626750223","0.761311946952792",NA
"s","s34","wt","203.1",687.56,0.83455,NA,NA,NA,NA
"s","s35","psbo1cr","203.566666666667",79.68,0.596789236947791,NA,NA,NA,NA
"s","s36","psbo2cr","203.966666666667",449.44,0.832223388438946,NA,NA,NA,NA
"s","s37","wt","204.4",1017.89,0.84128007240468,NA,NA,NA,NA
"s","s38","psbo1cr","204.866666666667",71.22,0.61316,NA,NA,NA,NA
"s","s39","psbo2cr","205.366666666667",354.45,0.833029028635915,NA,NA,NA,NA
"s","s40","wt","205.833333333333",1277,0.839104355364135,NA,NA,NA,NA
"s","s41","psbo1cr","206.3",63.33,0.62268,NA,NA,NA,NA
"s","s42","psbo2cr","206.933333333333",NA,NA,NA,NA,NA,NA
"d","d01","wt","174.6",1384.89,0.841597107856942,NA,NA,NA,NA
"d","d02","psbo1cr","175.4",75.56,0.61281,NA,NA,NA,NA
"d","d03","psbo2cr","176",1109.67,0.82657,NA,NA,NA,NA
"d","d04","wt","176.466666666667",1562.11,0.833864251813253,NA,NA,NA,NA
"d","d05","psbo1cr","176.9",121.33,0.57993,NA,NA,NA,NA
"d","d06","psbo2cr","177.333333333333",809.11,0.819162150758241,NA,NA,NA,NA
"d","d07","wt","177.833333333333",1766.22,0.834676853562976,NA,NA,NA,NA
"d","d08","psbo1cr","178.266666666667",101.67,0.59004,NA,NA,NA,NA
"d","d09","psbo2cr","178.733333333333",779.55,0.820071911102559,NA,NA,NA,NA
"d","d10","wt","179.2",934,0.82074,NA,NA,NA,NA
"d","d11","psbo1cr","179.666666666667",101.89,0.57893,NA,NA,NA,NA
"d","d12","psbo2cr","180.133333333333",1473.23,0.831114321185422,NA,NA,NA,NA
"d","d13","wt","0",1829.1,0.834178492045268,"0.0613150669181565","0.386347340495326","0.667213007216664","0.745452818599311"
